## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 -132.751, 96.8144, 385.05, 419.216, 113.907, -107.303, 1152.92, 1164.23
 82.4252, -132.922, 37.6649, 162.892, -71.4763, 93.2186, -161.734, 202.511
 -121.679, -91.8451, -1.1137, 153.267, 107.89, 102.772, -59.075, 160.615
 158.267, 20.3894, 113.837, 197.887, -113.985, -41.2621, -115.667, 170.217
 220.069, 52.5888, -1270.3, 1290.59, -176.496, -35.2496, -75.1156, 198.324
 -62.9246, -197.408, -92.8575, 229.584, 60.8207, 179.565, -119.878, 225.843
 -55.1101, 43.1991, 132.232, 150.554, 32.1872, -56.9818, -237.808, 246.88
 20.1919, 144.193, -607.612, 626.004, -28.7778, -139.739, -142.124, 201.559
 -87.3888, -132.435, 11.024, 159.824, 87.8532, 96.3845, -54.5328, 142.546
 101.277, 13.3625, 157.368, 190.452, -55.0596, -4.82833, 53.7431, 77.6407
 77.155, -33.8348, -136.081, 160.654, -80.3519, 13.8565, 224.592, 240.53
 -137.051, -122.402, 77.0569, 203.844, 75.5709, 68.7811, 2.88129, 102.579
 -164.577, -123.664, 1051.25, 1071.93, 119.445, 115.295, 592.78, 617.673
 -146.732, 10.1685, -91.6591, 174.399, 133.265, -20.314, 93.4123, 164.631
 -91.8193, -86.4437, 117.192, 172.95, 46.0504, 50.4299, 54.944, 87.9101
 -34.2422, 177.395, -27.831, 183.109, -1.34393, -149.607, 47.6429, 160.069
 130.152, -100.786, -76.8948, 182.565, -111.828, 92.4357, -87.0722, 171.708
 13.3827, 139.429, -554.185, 571.913, 26.6611, 11.2395, 16.6038, 33.4996
 169.852, -105.012, -255.213, 324.7, -141.014, 84.3446, -263.067, 311.683
 29.5468, -19.268, 50.105, 61.5692, -12.0094, 28.1621, -373.636, 374.954
 30.9498, -113.257, 200.346, 234.393, -8.23417, 114.976, 1459.82, 1464.43
 173.936, 92.4519, 211.668, 289.937, -161.244, -95.8312, 179.42, 259.82
 23.1046, -189.78, -45.0237, 197.763, -28.4507, 175.2, -12.651, 181.519
 -199.47, -6.60088, -114.236, 237.121, 62.9458, 65.4964, -820.375, 825.654
 -139.185, 10.1338, -117.391, 186.36, 121.968, -17.4782, 81.7692, 149.379
 87.5417, -87.2553, 64.5241, 139.875, -98.4767, 73.705, 398.835, 417.635
 144.073, 39.0361, -9.96953, 153.127, -117.396, -37.0215, 200.545, 236.054
 -100.774, -74.8963, -156.607, 201.654, 80.2659, 56.7236, 121.493, 157.242
 -144.827, 105.147, -31.1415, 182.732, 134.637, -82.1287, -221.676, 272.783
 161.918, -8.04767, 2240.65, 2246.57, -151.819, 25.3346, 490.631, 515.139
 -170.229, 45.7573, -308.391, 355.798, 156.805, -72.6412, -909.05, 926.196
 127.812, 49.2232, 832.019, 843.568, -101.481, -23.9392, 127.526, 164.787
 -104.879, -171.777, -460.06, 503.2, 102.345, 152.588, -304.892, 357.486
 -128.064, -102.215, 135.375, 213.392, 102.559, 70.4489, -26.2803, 128.48
