## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 67.1469, 12.7475, 38.5829, 80.1021, -56.5518, -9.82713, -72.1681, 92.9651
 45.4622, 29.1081, 80.8451, 97.6616, -33.5373, -40.3961, 97.2393, 110.746
 43.0793, -10.3415, -896.499, 897.696, -33.1691, 8.7653, 1.40215, 34.7389
 -36.8611, -42.078, -32.2558, 65.2741, 46.1794, 29.438, -17.2257, 57.4953
 28.5969, -56.6171, 514.207, 518.225, -25.0117, 38.5282, 634.475, 636.303
 -8.59599, -45.9554, 129.934, 138.349, 4.07944, 42.9324, -11.007, 44.8662
 46.915, -29.4926, -219.821, 226.794, -24.3488, 5.46803, -21.3698, 32.8833
 37.0746, 37.943, -29.2967, 61.079, -41.7596, -28.3809, 72.7816, 89.4688
 -17.3272, -43.8773, -83.2376, 96.6073, 22.436, 33.6857, -1.48735, 40.699
 45.7704, 33.0525, -7.2297, 58.2203, -27.8009, -34.4527, -39.029, 60.0724
 52.3165, 20.2363, -523.714, 526.827, -52.8163, -16.4297, -260.664, 266.686
 -65.1927, 18.2773, 23.2335, 72.0094, 51.9743, -12.2857, -6.56031, 55.9305
 9.81015, 65.34, -9.79072, 68.9807, 1.748, -33.1532, -614.027, 614.958
